,Solid fossil fuels,Manufactured gases,Peat and peat products,Oil shale and oil sands,Oil and petroleum products,Natural gas,Renewables and biofuels,Nuclear heat,total
PT,0.34051117063517966,0.0,0.0,0.0,0.026388333289555893,0.3518666677106552,0.2812338283646094,0.0,9504.878469379953
ME,0.7536393725705388,0.0,0.0,0.0,0.0,0.0,0.2463606274294612,0.0,391.2153195758097
LV,0.002321767533687693,0.0,0.0,0.0,0.000712313826934244,0.40494281262094445,0.5920231060184337,0.0,1588.1070099359893
HU,0.14905995991190968,0.02005841929379028,0.0,0.0,0.0032336133347830452,0.24220182651390557,0.10162396713458177,0.4838222138110297,8441.117177796885
BG,0.5048660781680404,0.0,0.0,0.0,0.014892150189973866,0.07490426318721774,0.05176911268995767,0.35356839576481014,11145.509743527276
SE,0.005063313065430282,0.008049562685865106,0.0045867219176183435,0.0,0.0035269456042345236,0.003629777137055292,0.4205063539106192,0.5546373256791773,29480.525819241422
SI,0.3455261487672205,0.0,0.0,0.0,0.002711985446829894,0.038734418093980795,0.14093736059881157,0.47209008709315736,3152.1526096063817
FI,0.10922756518862964,0.01089960748870582,0.07352123151133493,0.0,0.017200932217183454,0.05853223083380365,0.3644488867932724,0.36616954596707,14720.23017579058
EL,0.4650439954992307,0.0,0.0,0.0,0.1440813582954919,0.2642888096861127,0.12658583651916477,0.0,9892.67305340594
CY,0.0,0.0,0.0,0.0,0.9615869659414757,0.0,0.038413034058524184,0.0,1059.3509049632178
PL,0.8430662249045825,0.02253981099043211,0.0,0.0,0.010263304314643304,0.048626893262555905,0.07550376652778633,0.0,40997.34229423426
IT,0.13235080936968385,0.011960568065127332,0.0,0.0,0.07603225108885957,0.46043935650747014,0.319217014968859,0.0,54802.25116834308
RO,0.34748482850484924,0.0022931866361257046,0.0,0.0,0.022554536919334758,0.22780913488202642,0.1745337301338096,0.2253245829238543,12901.388575885594
NL,0.2986559269120759,0.029361247199685372,0.0,0.0,0.0241890950354717,0.4768948840987431,0.13241088259953648,0.038487964154487415,20512.90623819473
ES,0.2164592401339102,0.005649206633444592,0.0,0.0,0.0647617387092772,0.1984646895072349,0.21221800511250244,0.3024471199036307,50030.23340021018
DK,0.2306048325561658,0.0,0.0,0.0,0.014319775552507397,0.11929503848334255,0.6357803534079843,0.0,6283.058128403554
HR,0.17260153832792255,0.0,0.0,0.0,0.029160966141971324,0.3990253132706436,0.3992121822594625,0.0,1831.749730104137
GE,0.012114433924847328,0.0,0.0,0.0,0.0,0.3483764251319959,0.6395091409431568,0.0,1250.179612114264
BE,0.00047266836356502816,0.02734620386274085,0.0,0.0,0.002043533260211686,0.20865853057617623,0.12447322167689898,0.6370058422604071,17271.42715200153
IE,0.18420044423130988,0.0,0.10736005958280358,0.0,0.007338251446793591,0.5134643048681268,0.18763693987096616,0.0,4710.2592664570075
FR,0.02526343816222499,0.004750438269480921,0.0,0.0,0.013072324604251997,0.05681584943893084,0.09082064510347343,0.8092773044216379,128336.72640087825
AT,0.039507644203445776,0.050423806206732466,0.0,0.0,0.028120582946056922,0.25650257975456947,0.6254453868891953,0.0,9511.71865938791
DE,0.4409222550969708,0.020580664029731743,0.0,0.0,0.01075612152565286,0.15054354722893262,0.21560481634219902,0.161592595776513,121631.19173593196
LT,0.0012761667575290725,0.0,0.006461290396739404,0.0,0.022371509581653973,0.26602048293556524,0.7038705503285123,0.0,1269.3861517149137
LU,0.0,0.0,0.0,0.0,0.00324976005988942,0.43454252004153265,0.562207719898578,0.0,172.36186634183622
TR,0.425519307720853,0.015622008847200235,0.0,0.0,0.004486591114438836,0.32134340497130476,0.2330286873462032,0.0,53900.40583330944
MK,0.7306534249859009,0.0,0.0,0.0,0.01985717785356364,0.15466537687084075,0.09482402028969471,0.0,1176.645000699341
XK,0.9850492431153872,0.0,0.0,0.0,0.003495995172863502,0.0,0.0114547617117492,0.0,1352.7286954237127
NO,0.001474385336551205,0.002321311064910045,0.0,0.0,0.0012856770403157271,0.025177630956410915,0.9697409956018122,0.0,13201.129741091048
UK,0.09020248780191521,0.008723453057535366,0.0,0.0,0.00933593456166072,0.41778032701107193,0.215677157887138,0.25828063968067877,58555.6858566638
CZ,0.5036425229741124,0.030043052402703534,0.0,0.0,0.002463363124894726,0.06461213088257918,0.07445042780645623,0.32478850280925403,21604.2130164962
RS,0.7968897872481704,0.011818615450875994,0.0,0.0,0.022053922157685577,0.07536600928139486,0.09387166586187308,0.0,8586.84292263232
AL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,389.18134135855547
EE,0.0007430804736425414,0.04095472690085976,0.010262517809654594,0.7183792282501065,0.011463278620941885,0.04773408078694311,0.1704630871578516,0.0,3472.0510992882387
SK,0.13688158685557775,0.011083874506212678,0.0,0.0,0.032374542487207864,0.09492893059239461,0.1445472993425507,0.5801837662160565,6868.513447023981
MT,0.0,0.0,0.0,0.0,0.1663560900069208,0.7426020748380546,0.09104183515502463,0.0,311.923934747301
UA,0.32408163975768817,0.0,0.0013241859271792432,0.0,0.12376755238772787,0.2802639744297784,0.03963708985452348,0.23092555764310277,91354.11521926054
IS,0.017576533031454462,0.0,0.0,0.0,0.16386360526131521,0.0,0.8185598617072303,0.0,5632.5345701251545
BA,0.5799302061272807,0.0,0.0,0.0,0.24550611896735094,0.026049413234642504,0.14851426167072582,0.0,7090.169489825164
